"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1386						"BOSNIA-HERZEGOVINA"		130	"BALKANS NW:  BOSNIA-HERZEGOVINA"	44.2	17.7			10										
	1387	3	5				"CROATIA"		130	"BALKANS NW:  CROATIA"	44.1	15.2			10										
	1387	9	5				"YEMEN"		60	"YEMEN:  ADEN (ADAN)"	12.4	45.1													
	1389	1	20				"IRAN"		140	"IRAN:  NEYSHABUR"	36.2	58.5	10	5.8	9										
	1389	1	30				"IRAN"		140	"IRAN:  NEYSHABUR (NISHAPUR)"	36.1	58.5													
	1389	2					"IRAN"		140	"IRAN:  NEYSHABUR (NISHAPUR)"	36.2	58.8		7.6											
	1389	3	20		126		"GREECE"		130	"GREECE:  AEGEAN SEA"	38.5	26.5			10										
	1390	5					"UZBEKISTAN"		40	"UZBEKISTAN:  BUKHARA"	39.8	64.4	20	6.1	8										
	1390	12	5				"CROATIA"		130	"BALKANS NW:  CROATIA"	44.1	15.2			10										
	1391	3	23				"SWITZERLAND"		120	"SWITZERLAND"	47.4	7.2			8										
	1399	11	6	20			"CROATIA"		130	"BALKANS NW:  CROATIA"	44.1	15.2			10										
	1400						"IRAN"		140	"IRAN:  LAR"	27.7	54.3													
	1400						"IRAN"		140	"IRAN:  RUDBAR"	36.5	49													
	1402				3545		"SYRIA"		140	"SYRIA"	35	37													
	1403	11	16		127		"SYRIA"		140	"SYRIAN COASTS"															
	1403	12			128		"JAPAN"		30	"JAPAN:  KUMANONADA"	33.7	136.5		7											
	1404						"SYRIA"		140	"SYRIA:  HALAB (ALEPPO)"	36.1	37.1			9										
	1405	1	29				"IRAN"		140	"IRAN:  NEYSHABUR (NISHAPUR)"	36	58.8	15	6.7	9										
	1406	10	16		129		"JAPAN"		30	"JAPAN:  SHIMIZU"	34.4	138.4		6.2											
	1407	4	9				"TURKEY"		140	"TURKEY:  ANTAKYA (ANTIOCH)"	36	36													
	1408	1	21		131		"JAPAN"		30	"JAPAN:  KUMANONADA"	33.8	136.9		7											
	1408	12	20		3565		"TURKEY"		140	"TURKEY:  ANTIOCH; SYRIA: ALEPPO; LEBANON: TRIPOLIS"	36.2	36.1			10										
	1414	8	3				"ITALY"		130	"ITALY:  SANSEPOLCRO"	43.5	12.1			10	200									
	1417						"ITALY"		130	"ITALY"	41	15													
	1418	4	7				"CROATIA"		130	"BALKANS NW:  CROATIA:  VRANA"	43.9	15.6			10										
	1419	3	15		2318		"TURKEY"		140	"MARMARA SEA"	40.9	28.9													
	1426						"YEMEN"		60	"YEMEN:  ZABID,BAHRAIN"	14.1	43.2			11	60									
	1427	5	15				"SPAIN"		130	"SPAIN:  OLOT,BARCELONA"	41.7	2.2			11										
	1428	2	2				"FRANCE"		120	"FRANCE:  PRATS DE MOLLO; SPAIN: OLOT"	43.4	4.4			9	600									
	1431	4	24				"SPAIN"		130	"SPAIN:  GRANADA"	37.2	-3.6			9										
	1433	11	7		133		"JAPAN"		30	"TOKAIDO, JAPAN"	34.9	139.5		7.1											
	1440	10	26				"CHINA"		30	"CHINA:  GANSU PROVINCE:  YONGDENG"	36.2	103.3		6.3	8	200					200				
	1440						"IRAN"		140	"IRAN:  KARZIN"	28.3	53.1		6.5											
	1441						"IRAN"		140	"IRAN:  TABRIZ"	38	46.2													
	1441						"TURKEY"		140	"TURKEY:  VAN,NEMRUT"	38.3	43.2													
